follower_count,likes,comments,shares,saves,hashtag_count,post_type,hour_of_day,day_of_week,account_age_days,reach,reach_tier
110064,1206,51,51,40,10,image,15,3,2620,66329,2
4126,48,2,1,3,7,video,0,0,2570,2304,0
15859,851,39,29,56,21,image,23,1,296,9965,1
2637,6,0,0,0,19,image,10,5,2213,3067,0
8450,311,6,8,10,10,image,14,5,3455,8482,1
2753,122,6,5,8,8,video,16,6,2272,3540,0
149660,5262,266,75,564,29,image,13,0,3540,49887,2
15594,527,18,6,47,1,image,22,3,3055,10577,1
5472,194,14,2,19,16,reel,20,1,153,7703,1
69460,1875,60,93,185,29,image,15,5,3297,47292,2
1000,9,0,0,0,9,reel,14,1,275,1378,0
1000,10,0,0,0,1,image,8,0,763,711,0
33945,509,35,14,33,25,image,10,5,2998,23000,2
9034,192,13,2,6,28,image,0,0,1800,7302,1
12718,587,39,25,27,1,reel,17,6,2231,13710,2
1000,64,3,1,5,11,image,3,5,1085,1606,0
7771,372,21,7,41,2,image,5,4,3621,6819,1
298437,11403,814,497,970,27,image,13,1,351,185419,2
35723,1751,79,35,113,25,reel,16,1,924,37002,2
10998,350,21,15,36,25,reel,0,1,3079,12415,2
3676,100,2,4,7,10,video,18,2,2910,2605,0
3982,424,22,18,22,22,image,3,1,1058,5787,1
1000,57,1,2,2,5,image,15,1,1929,925,0
12884,823,49,19,86,4,image,18,2,162,13802,2
37118,2623,111,94,224,18,image,4,0,2040,32465,2
1000,9,0,0,0,29,reel,9,6,3110,4394,1
2463,75,3,2,7,7,video,12,5,786,1647,0
1008,34,2,1,2,14,image,13,1,3410,1411,0
1425,8,0,0,0,30,reel,19,1,2227,4815,1
8921,89,1,3,7,13,image,22,6,201,3800,0
1000,39,1,1,1,25,video,9,0,1517,3004,0
24481,300,18,6,16,21,image,14,5,645,15896,2
31474,4530,245,221,354,27,image,22,0,828,44499,2
5156,301,11,13,10,10,image,14,0,328,4841,1
1000,15,0,0,1,25,image,1,6,3060,2428,0
1348,4,0,0,0,25,reel,7,3,2445,4114,1
74549,7033,249,211,446,27,reel,15,2,805,121056,2
1000,8,0,0,0,28,image,23,0,332,2510,0
4334,118,2,1,10,10,reel,5,4,1117,5325,1
1000,38,2,1,1,25,image,5,3,1059,2658,0
34483,1082,73,32,112,20,image,15,0,344,8983,1
2403,29,1,0,1,2,image,2,4,480,1397,0
16766,571,45,28,30,28,image,22,3,2478,15354,2
22422,398,13,12,15,22,image,21,6,2746,18037,2
220842,12647,817,335,1432,21,reel,13,5,1057,247370,2
5623,221,14,9,14,2,reel,8,4,1462,4564,1
15944,417,29,6,26,30,image,10,0,3498,6757,1
1000,26,1,0,1,30,image,13,1,1274,2798,0
69060,2191,68,46,165,26,video,20,2,2715,76562,2
2061,37,0,1,2,10,reel,17,6,3070,2602,0
2953,29,0,1,1,2,image,11,2,3293,836,0
7784,305,21,10,29,23,image,15,3,3537,5159,1
1000,22,0,0,2,15,reel,13,6,741,3088,0
12231,931,49,26,57,7,video,2,0,3473,9651,1
46232,1508,32,49,84,8,reel,7,4,2346,19234,2
13729,259,12,8,16,20,image,4,6,878,8218,1
1000,81,3,1,9,27,reel,13,6,3215,5444,1
6484,292,15,4,24,17,reel,23,3,1444,7096,1
30811,1174,49,54,52,29,image,17,2,3511,17163,2
1000,19,0,0,1,17,image,15,1,1718,1948,0
1170,16,0,0,1,17,video,12,4,2384,2121,0
39252,1010,77,50,31,11,image,8,6,1766,29416,2
13176,450,25,11,52,1,image,5,3,3461,8271,1
17009,249,14,9,10,7,image,21,4,1736,9867,1
230289,12773,957,218,858,10,image,0,1,564,85538,2
18833,816,43,38,72,19,reel,21,5,3208,15500,2
26481,1823,103,24,150,5,image,5,2,176,24789,2
1065912,59263,3045,2858,1800,15,image,19,2,2746,534697,2
5514,202,6,7,17,16,video,20,1,1714,6906,1
1927,55,2,1,5,15,video,22,4,2538,2969,0
17501,1665,121,28,177,30,image,23,0,1178,10426,1
17857,231,10,10,10,5,image,12,6,850,11686,1
3139,74,2,0,2,10,image,13,6,3383,2332,0
1263,35,2,0,4,11,reel,0,6,704,2935,0
517994,40851,1031,1507,3727,22,image,19,6,88,340290,2
14593,348,20,4,24,20,image,13,5,1493,5821,1
2168,70,4,2,6,25,reel,1,5,1178,5228,1
42136,2202,84,72,97,16,image,8,2,2181,21770,2
6657,676,20,7,78,25,reel,20,1,1296,18018,2
5140,340,15,8,30,0,reel,9,0,1327,5726,1
22294,2640,172,29,287,4,image,6,0,2611,16549,2
1000,8,0,0,0,18,reel,6,4,2806,2561,0
15286,816,56,15,83,7,image,4,1,36,10890,1
253550,11438,303,429,680,9,reel,12,1,639,155680,2
18753,735,24,27,30,6,image,6,6,3107,7307,1
4116,119,6,4,7,4,image,14,1,3273,2500,0
3252,238,14,5,26,9,image,11,1,3413,3315,0
3871,74,1,1,6,28,image,15,3,1317,3097,0
5130,189,5,5,13,1,image,14,1,1782,3043,0
4104,13,0,0,0,30,image,1,0,569,4430,1
42165,673,27,27,56,16,image,0,4,421,23570,2
1000,21,1,0,1,23,image,7,3,2201,2018,0
38238,2312,177,92,179,22,image,8,3,213,30450,2
4091,37,0,0,3,1,video,10,1,626,2199,0
15970,279,14,8,14,8,video,16,4,965,10133,1
1065,22,0,0,1,26,video,23,3,198,2902,0
88568,4874,213,73,281,19,video,18,3,517,73960,2
76278,3278,78,159,158,11,image,8,6,78,57243,2
45581,2569,95,91,154,16,image,5,4,1851,32004,2
1000,43,1,0,4,13,reel,8,6,2163,2326,0
36041,4369,275,52,175,3,image,5,6,1515,20868,2
16793,523,30,21,28,29,video,13,0,1407,12302,2
1000,75,4,3,5,7,image,16,1,724,1150,0
7756,160,8,2,10,26,image,6,4,3167,6218,1
15617,581,23,11,60,7,image,14,0,3046,9271,1
22047,706,24,25,70,18,video,8,5,1586,12503,2
11148,594,12,15,54,15,reel,11,2,2203,13635,2
13687,717,20,16,39,27,video,5,2,3486,15684,2
114978,12248,406,330,390,19,reel,13,3,2297,134675,2
73633,1619,127,48,94,18,video,2,2,1900,41282,2
1000,32,2,0,2,9,reel,11,3,2504,1590,0
4576,97,6,2,3,26,reel,10,5,2933,8755,1
6024,49,2,0,5,3,image,9,3,3161,1600,0
1000,12,0,0,1,15,image,21,6,674,2636,0
9600,372,20,18,35,8,reel,18,3,2473,12786,2
76708,1948,114,23,131,14,video,13,5,3272,35544,2
1146,68,2,0,6,1,image,21,3,511,592,0
14846,455,35,20,24,21,reel,15,5,3560,18033,2
1558,33,2,1,3,23,image,15,6,1417,2806,0
2417,96,3,4,6,21,reel,11,6,3287,3947,0
115763,3367,171,52,310,21,video,6,0,1918,93480,2
3051,54,3,1,1,1,reel,7,1,1734,2262,0
18619,234,17,8,20,20,video,23,6,700,15253,2
1000,23,0,0,1,10,image,16,5,2914,1195,0
231462,8554,419,124,335,19,reel,2,4,3434,110166,2
23975,633,24,16,43,19,image,5,4,3465,6420,1
5834,224,9,4,8,9,reel,22,0,943,5258,1
22833,1738,58,62,81,4,image,5,3,2390,8285,1
1000,9,0,0,0,3,image,13,0,2825,917,0
68087,2160,97,65,77,13,reel,8,4,3489,41501,2
4522,77,3,2,6,18,video,17,4,3475,3189,0
5612,119,7,5,4,0,reel,20,4,2294,8063,1
3344,24,1,1,2,22,reel,10,4,1025,5653,1
2849,57,2,2,6,7,image,0,6,689,2916,0
28294,1141,54,18,78,25,reel,8,3,1679,22937,2
12844,454,30,20,53,21,reel,0,5,2351,9336,1
26190,1390,67,25,121,22,reel,5,3,930,37127,2
7975,173,9,2,14,6,reel,9,5,2304,10362,1
20409,1222,37,33,55,20,video,2,1,3008,15678,2
3812,365,7,13,42,21,reel,0,3,2042,9146,1
448434,31160,2361,497,3350,25,video,7,4,2909,461395,2
1000,80,2,1,3,17,image,0,6,1190,2181,0
78408,3232,132,42,105,23,reel,6,6,3264,87064,2
95057,2906,78,100,181,14,image,2,1,3602,22589,2
1747,29,1,1,1,29,image,12,2,257,3367,0
448064,22809,1464,702,1374,21,image,19,0,1024,185819,2
48624,1801,110,50,209,0,image,20,4,2709,27291,2
46539,2615,186,114,281,24,reel,14,0,2761,38913,2
8522,204,7,5,14,4,image,2,0,2128,5797,1
5480,224,8,6,12,2,video,1,5,2060,5419,1
5558,183,14,6,15,17,video,17,3,1563,3958,0
16365,442,20,16,50,15,video,17,1,2084,11687,1
100925,11740,822,482,1187,12,image,6,5,3250,109043,2
11230,146,8,1,15,12,video,23,5,207,5007,1
1570,53,1,2,5,10,image,15,5,3170,1562,0
35737,956,74,26,72,28,reel,10,5,320,23133,2
42534,1768,69,81,75,23,image,15,3,2563,27738,2
26327,295,17,9,30,24,reel,0,6,1283,34387,2
31004,2078,73,60,184,16,image,17,3,653,22623,2
4975,164,8,2,16,23,image,5,4,55,4722,1
1522,76,3,2,7,16,reel,0,0,970,3785,0
1698,27,0,0,1,28,video,15,3,41,4626,1
1000,5,0,0,0,1,image,0,2,595,597,0
12413,427,12,19,45,24,video,0,5,1452,8010,1
6972,350,16,10,23,14,image,4,4,957,3550,0
3670,64,1,2,2,10,image,22,4,1641,1545,0
1000,44,2,1,3,18,image,23,5,2829,1990,0
1000,39,1,1,2,28,image,10,4,96,2843,0
60931,1525,81,37,133,8,image,8,0,1237,26478,2
2449,50,3,0,4,14,image,10,1,1399,2346,0
15507,231,15,11,20,7,reel,15,6,1053,5417,1
1000,53,4,1,6,25,image,13,4,1967,2952,0
107976,1282,92,36,70,17,image,7,6,931,23954,2
6252,45,1,1,5,9,image,6,0,824,3844,0
13657,254,16,3,25,28,reel,11,1,212,15025,2
533067,17818,437,323,1906,6,image,6,4,2597,311607,2
124193,1578,44,34,161,3,image,10,0,1261,29998,2
4666,290,13,9,9,7,reel,0,0,2964,5481,1
2785,163,7,4,12,9,image,4,2,372,3090,0
4509,313,15,9,12,8,image,23,4,833,4020,1
20288,599,29,7,54,1,reel,8,6,2064,10193,1
6704,80,4,0,2,30,image,10,6,3111,5224,1
3978,365,28,10,12,10,image,4,3,699,4517,1
113655,1050,31,18,117,29,video,20,5,1124,49226,2
6597,92,3,4,10,21,reel,6,2,1013,9255,1
508520,39618,968,1079,3412,24,reel,7,4,149,722625,2
9540,228,7,5,16,9,video,10,6,1762,5307,1
201505,5159,408,163,539,20,image,19,4,2468,54242,2
15416,294,6,10,34,12,video,19,0,1409,11061,1
45859,898,29,11,31,11,reel,4,1,2525,24760,2
2198,47,2,1,1,29,video,4,6,1194,4805,1
1742,111,4,1,12,26,image,6,5,2005,3424,0
18536,540,28,13,21,10,reel,4,5,3493,19413,2
48021,1334,105,32,125,0,reel,12,0,576,21850,2
8712,411,25,13,32,16,image,5,2,241,4832,1
1000,20,0,0,1,29,video,1,3,475,3568,0
1000,26,1,1,1,28,reel,18,5,3217,6204,1
1000,36,2,1,3,14,image,8,0,2192,1988,0
1000,38,1,0,3,15,reel,5,5,3392,2835,0
9868,351,22,13,39,26,image,3,4,1426,5724,1
61394,2381,135,69,174,5,image,19,4,3534,50366,2
7909,532,34,17,59,8,reel,14,6,1413,11087,1
1000,1,0,0,0,4,reel,7,5,3151,1614,0
5748,70,4,1,3,18,image,19,4,2007,2669,0
6044,147,9,5,16,27,reel,7,3,2962,9653,1
352497,4715,288,145,183,9,video,5,6,2896,120236,2
1000,19,0,0,0,27,reel,9,5,887,5091,1
4010,25,0,0,1,15,image,0,2,2832,2956,0
174649,4610,296,133,432,7,reel,10,5,682,107051,2
18214,1360,80,25,136,29,reel,18,3,1864,26498,2
22336,416,32,4,46,19,reel,10,6,2212,32291,2
9959,385,18,7,16,16,image,13,2,240,9312,1
14674,724,24,15,42,5,image,9,5,1969,6851,1
32849,1162,76,17,68,17,image,19,1,797,10588,1
1887,20,1,0,2,7,image,23,6,2640,1295,0
39360,2106,108,48,173,13,reel,13,1,1741,34415,2
1000,15,0,0,0,28,video,16,1,455,3262,0
14633,422,16,11,24,30,video,14,6,3642,15837,2
11178,663,21,27,38,12,image,21,1,1065,6835,1
2672,19,0,0,1,9,reel,21,3,2021,3379,0
7778,648,24,29,51,6,image,21,3,2464,5183,1
2642,113,6,4,9,6,reel,1,5,2969,4284,1
1177,39,1,1,2,16,image,10,1,2245,2024,0
4287,107,7,3,3,29,image,12,2,2418,5186,1
1110,90,3,3,8,26,image,18,6,1292,3285,0
14487,569,34,14,54,8,image,13,6,1196,10643,1
1022,86,4,3,3,25,video,11,1,566,3619,0
29189,342,11,6,30,14,reel,12,3,3593,22857,2
1000,3,0,0,0,20,image,14,3,3136,1643,0
2923,194,14,9,16,7,reel,14,3,858,3750,0
2632,102,7,3,9,25,reel,17,3,3039,4445,1
88015,1049,39,13,97,14,reel,9,0,2482,75889,2
14684,655,34,11,38,24,video,13,6,559,17361,2
5535,477,13,13,20,7,image,2,1,913,4070,1
19884,725,34,31,52,29,video,12,1,2743,25633,2
1000,55,2,2,2,13,image,8,5,3559,1551,0
7497,412,31,5,37,20,image,0,6,543,5569,1
295234,6511,377,81,614,16,image,4,6,3448,74243,2
10282,589,18,8,18,18,image,23,2,1664,5223,1
9156,273,21,10,31,7,image,13,5,3326,4548,1
21733,1483,91,46,167,28,image,0,1,1717,11036,1
40622,4369,122,172,182,6,reel,21,2,1079,73369,2
1000,21,1,0,1,11,image,2,1,1484,1339,0
1000,37,1,0,1,13,image,14,1,1853,1690,0
11831,947,41,19,110,15,image,1,6,1268,11311,1
2237,73,2,1,5,7,image,20,6,1030,2445,0
85960,3750,137,143,348,26,image,15,1,1723,51625,2
4594,191,5,6,22,19,video,20,2,1118,5994,1
1000,19,1,0,1,30,image,7,0,2607,2875,0
1000,93,3,1,10,10,image,21,5,1055,2497,0
1000,50,2,2,2,13,video,21,2,1228,2665,0
5316,237,18,4,12,17,image,11,4,2921,4952,1
5772,90,7,2,6,18,reel,14,3,2130,6198,1
3774,81,5,0,8,5,image,9,1,3015,2739,0
56499,2204,149,48,73,25,image,18,2,1328,38394,2
70076,5022,385,90,350,30,image,15,0,2868,54218,2
5962,556,37,10,57,16,reel,3,1,3546,13109,2
1000,29,1,0,1,11,image,9,5,50,1511,0
24614,257,6,10,21,12,video,9,2,2505,11510,1
22018,1347,43,53,48,1,image,10,3,3380,15815,2
14142,407,18,17,12,2,reel,14,4,3116,9690,1
47413,2781,99,109,163,11,video,6,6,1461,33248,2
1000,74,2,3,7,6,image,4,3,1594,1213,0
301269,5883,138,63,198,9,video,10,6,1140,302125,2
1440,15,0,0,0,10,reel,9,4,958,2455,0
31213,1574,64,41,150,5,image,21,0,2935,34742,2
1000,53,1,1,3,12,image,18,6,316,2084,0
1518,36,2,1,2,1,image,5,1,1605,818,0
124177,1112,40,11,83,24,image,16,5,2988,43386,2
5066,147,7,2,16,21,video,14,6,2571,6239,1
36748,904,31,25,98,5,reel,21,5,2557,57945,2
12413,229,13,9,8,5,video,17,4,1751,6712,1
6708,154,10,6,14,2,image,13,2,3003,2414,0
94365,4775,118,75,376,5,video,6,4,1374,45690,2
5292,52,3,1,3,18,image,4,3,2489,3296,0
1000,34,2,1,2,2,video,8,4,144,705,0
1908,22,1,0,2,0,video,21,2,166,1267,0
21854,734,51,16,73,17,video,21,4,1025,19542,2
16513,832,44,21,67,28,reel,23,3,1568,22267,2
1000,29,0,1,1,14,image,23,6,1144,1635,0
2199,63,1,1,5,7,reel,11,0,1230,2612,0
2843,88,2,1,6,25,reel,14,5,357,5995,1
4197,119,5,1,8,25,image,2,3,1599,3577,0
1000,15,1,0,1,25,reel,3,4,376,3341,0
2614,101,3,2,12,11,image,6,3,2448,2662,0
2183,45,2,1,5,1,video,4,0,2893,1728,0
32492,578,46,26,55,30,image,18,4,2080,20198,2
34766,335,6,7,28,27,image,20,2,1200,28755,2
6232,179,4,3,10,15,video,0,1,2331,6919,1
4001,43,1,0,4,24,image,16,6,3142,4457,1
10423,164,5,8,11,29,image,7,1,792,7583,1
1863,19,0,0,0,1,video,11,2,756,1398,0
1028,47,2,1,1,14,video,8,2,1826,1691,0
1491,41,2,1,4,26,image,3,3,1580,2947,0
2584,81,2,4,4,22,reel,18,3,881,5135,1
1000,7,0,0,0,3,reel,7,4,1188,775,0
10847,419,13,9,36,1,image,10,2,1880,4038,1
30136,191,8,6,10,10,reel,14,2,3397,19434,2
1000,16,0,0,1,13,reel,12,4,1098,2344,0
8478,586,39,20,62,3,image,4,4,580,4113,1
5454,145,8,5,6,8,reel,16,4,816,7917,1
14983,537,17,24,21,15,reel,3,3,2179,16369,2
7916,402,22,13,33,24,reel,18,0,3434,16946,2
1000,4,0,0,0,17,image,15,3,3346,1790,0
1000,73,5,2,4,16,reel,8,1,1000,3197,0
8543,647,51,15,73,22,image,8,0,1131,10284,1
51627,4350,119,86,199,19,reel,4,4,2296,80700,2
1000,21,1,0,1,7,image,10,3,873,1087,0
15097,827,29,40,46,7,reel,4,3,2298,9529,1
68962,818,53,38,50,3,reel,12,5,3222,29853,2
6152,276,6,5,17,3,video,3,2,2118,2692,0
21815,1341,70,58,71,25,image,21,2,2700,15538,2
2285,4,0,0,0,21,image,2,1,2632,2852,0
6536,130,5,4,13,19,image,17,0,646,4200,1
1000,44,3,2,3,13,reel,10,6,2232,2981,0
1000,37,1,1,4,2,reel,8,2,933,1466,0
44222,5179,388,176,219,12,reel,4,3,3106,56716,2
1376,108,7,3,8,4,reel,15,6,2659,2997,0
3569,99,4,2,10,29,video,18,1,122,6828,1
1000,10,0,0,0,12,image,15,1,1052,1336,0
1000,6,0,0,0,3,image,0,5,297,805,0
5925,212,12,2,17,8,image,19,2,1441,6006,1
2179,80,2,3,9,19,reel,22,1,2036,4059,1
16000,482,36,5,18,13,reel,16,5,3460,14809,2
18298,1604,105,58,54,1,image,0,1,1477,13917,2
14436,915,70,25,56,11,video,12,0,1694,11147,1
12450,65,2,0,6,21,video,7,5,797,14089,2
138688,5298,243,86,183,16,video,15,6,2158,51287,2
1185,51,1,0,2,17,video,18,6,1307,2830,0
7340,116,4,2,13,20,image,21,0,2635,7395,1
62245,258,7,9,22,22,video,20,3,2381,52475,2
78918,6739,185,221,440,13,reel,23,6,437,93427,2
1000,49,2,1,1,23,image,2,4,3119,2477,0
4618,85,2,3,8,28,video,2,2,1142,3269,0
93397,1078,30,43,122,4,image,19,2,687,51425,2
20222,877,45,32,84,22,reel,17,2,2355,29935,2
11515,440,27,14,17,8,reel,18,4,1088,13725,2
5476,186,12,7,14,3,video,5,4,1850,5530,1
4060,30,1,0,1,7,image,11,5,537,1438,0
13613,128,4,2,14,28,reel,15,1,2948,11969,1
5144,86,4,1,8,18,image,15,5,3638,5009,1
7505,293,16,11,29,14,image,20,3,1298,4273,1
9334,718,25,19,48,8,image,8,0,102,9215,1
2391,51,1,2,1,16,image,20,5,2637,2418,0
21116,171,12,1,16,15,reel,7,0,601,24803,2
1537457,46122,1187,1168,4012,12,image,18,0,1789,736135,2
1000,56,2,0,2,13,reel,0,4,1423,3160,0
14519,307,10,13,30,22,reel,4,0,477,18643,2
2062,134,9,3,5,18,video,0,3,750,4327,1
22909,2411,120,83,232,0,image,5,2,3161,20444,2
8811,730,56,24,68,10,image,12,6,2492,8124,1
31931,1959,136,25,60,1,reel,20,2,1123,35219,2
67232,3215,209,132,320,28,image,0,0,112,39309,2
11457,542,16,23,36,9,image,14,0,621,5344,1
62174,1066,43,36,80,29,reel,2,6,1894,38388,2
1000,29,2,0,3,7,video,4,6,2686,1457,0
141890,5972,471,232,673,10,video,2,0,742,108498,2
15916,849,61,32,54,12,image,14,2,2550,12909,2
56393,2936,225,136,275,28,image,15,0,2318,45572,2
1000,60,3,0,4,2,image,6,5,278,967,0
1816,58,2,2,6,24,video,16,6,454,4920,1
10537,324,16,14,19,20,reel,9,4,621,14156,2
7858,271,12,5,19,7,reel,18,3,745,5404,1
13487,529,15,20,21,26,video,12,2,91,12884,2
57075,1131,43,23,128,17,video,23,2,3035,16414,2
1000,26,0,0,2,15,reel,16,4,3138,2072,0
46764,823,20,29,45,11,video,23,4,3289,28958,2
8224,272,10,3,22,12,reel,21,3,3217,9006,1
5614,362,21,5,23,24,video,4,2,1338,7425,1
1000,20,1,0,0,30,image,8,5,1437,3086,0
20040,1482,79,71,50,27,video,8,6,2157,27125,2
1000,36,2,0,3,10,image,14,0,3398,1257,0
26032,2091,94,22,117,19,video,13,5,2475,16026,2
1000,50,2,0,3,30,reel,11,3,2214,4102,1
8921,132,6,1,14,19,reel,1,4,2785,6060,1
6538,217,5,10,6,0,image,10,5,3144,2825,0
66514,4637,254,134,367,22,reel,4,2,1969,70527,2
5874,135,8,5,15,17,image,22,1,2812,3681,0
2322,29,1,0,2,15,video,20,0,2125,2574,0
3255,127,9,6,6,1,image,4,6,2741,1131,0
80112,2793,100,81,134,14,video,9,5,2867,26624,2
21275,1025,52,48,101,24,reel,15,5,2624,15857,2
4047,139,10,5,5,17,image,11,0,2008,2339,0
5294,422,27,20,35,8,video,4,6,3246,4897,1
1000,13,0,0,0,25,video,17,0,1977,2679,0
16305,1153,66,52,121,13,reel,21,2,1296,27733,2
1000,16,0,0,1,20,reel,19,4,1054,3732,0
31358,1053,65,38,70,0,image,8,0,1219,11764,1
10214,295,16,10,29,4,image,20,5,3065,7721,1
595116,9018,226,265,342,6,video,21,6,3491,540099,2
1118,32,0,0,2,4,video,21,2,1629,1192,0
6735,268,20,4,31,13,reel,19,0,1130,6794,1
206265,9054,277,418,801,12,reel,7,4,2031,299389,2
69182,1714,126,48,64,2,reel,12,5,1399,38003,2
2314,33,1,0,3,20,image,15,6,2320,4005,1
12126,76,3,2,3,14,image,19,1,219,8337,1
8132,303,16,11,19,12,reel,2,1,1987,7011,1
13460,87,5,1,4,7,image,1,0,807,2993,0
2303,280,13,6,26,11,video,23,0,1631,3261,0
6899,365,14,12,19,5,video,16,5,2262,7273,1
1000,28,1,1,1,27,image,6,1,1788,2791,0
10334,232,14,5,15,15,reel,23,2,3491,12920,2
18215,729,31,16,40,26,image,9,3,391,18442,2
5381,78,4,3,7,26,reel,15,0,1472,6894,1
1000,94,4,1,7,14,video,22,5,3007,2544,0
48019,1586,63,72,126,12,image,20,3,1249,38931,2
15617,678,25,28,30,22,reel,15,2,322,13866,2
2193,55,1,2,6,11,reel,13,1,2226,2689,0
4889,161,10,3,9,14,image,6,4,3604,3237,0
1000,29,2,0,1,12,image,4,5,3356,1459,0
1279,25,0,0,1,18,video,2,3,3541,2913,0
3077,151,4,2,17,1,video,0,5,1500,1381,0
73950,7445,579,153,630,8,image,11,3,3224,38754,2
2562,78,3,2,2,21,video,8,0,52,2837,0
25652,2096,90,59,99,15,video,14,1,307,25988,2
3074,33,1,0,2,21,reel,12,5,2759,5126,1
12661,466,19,9,21,19,reel,16,0,123,11553,1
6282,221,10,4,18,10,image,4,3,2201,3997,0
39007,4037,298,151,232,13,reel,3,1,2265,40301,2
3094,98,5,2,6,2,video,3,5,735,3341,0
1000,27,1,1,2,23,image,16,1,628,2270,0
1000,27,0,1,2,13,image,21,5,635,2141,0
3110,195,6,7,7,8,reel,8,1,3435,4830,1
1000,49,3,2,3,16,reel,3,4,786,3134,0
16956,937,70,45,103,0,image,22,1,2409,13601,2
3503,54,3,0,5,12,image,5,3,3133,1785,0
582038,9581,261,218,942,28,video,15,4,3140,356995,2
1000,11,0,0,1,11,reel,21,1,1031,2591,0
11690,291,6,12,11,11,video,22,3,3629,5098,1
1063,11,0,0,0,13,image,5,4,1334,1309,0
3333,98,5,4,3,7,reel,0,1,3427,2558,0
10452,321,14,14,13,6,video,10,0,1032,3720,0
1000,24,1,1,2,14,video,21,1,410,2226,0
12410,111,7,2,3,20,image,11,2,2112,4074,1
249006,9730,717,292,699,7,image,21,1,3587,103711,2
3582,78,2,2,4,6,video,20,5,2626,2688,0
12934,276,7,6,28,22,reel,12,4,284,13846,2
51269,1870,108,35,191,15,reel,20,3,2963,74750,2
6032,84,2,1,8,9,reel,23,3,2848,7490,1
2847,109,3,4,6,26,video,16,5,3485,6528,1
1000,35,1,1,3,30,video,17,4,2743,3529,0
25688,3897,123,132,431,26,video,10,4,1520,42060,2
6609,504,24,10,44,8,image,23,2,801,3993,0
1309,31,2,1,2,30,image,8,0,3498,3331,0
10176,144,10,6,8,11,reel,18,0,1414,8620,1
2833,212,11,7,20,2,image,22,5,2009,2892,0
3130,111,2,2,12,16,reel,21,5,2313,7154,1
24132,1100,66,21,64,29,reel,21,0,3606,48862,2
1000,59,2,1,3,0,image,4,0,1831,329,0
53378,3973,265,172,213,0,image,23,1,3196,30970,2
1000,38,1,1,4,0,reel,4,2,2578,811,0
2458,52,3,0,4,26,video,5,1,738,4206,1
258151,16214,518,378,1898,7,video,12,4,504,228441,2
61650,435,30,11,37,15,image,3,6,2329,10945,1
9659,452,30,11,25,2,reel,17,4,1504,12731,2
1490,59,2,2,4,29,video,22,2,168,4215,1
3125,250,19,7,10,23,video,6,3,2627,6131,1
9245,249,7,11,17,17,reel,7,6,3430,13496,2
8669,444,9,8,31,27,reel,10,5,59,15458,2
6880,250,16,6,20,6,video,2,1,3416,6609,1
7665,168,9,5,10,12,reel,4,3,2384,8206,1
5508,99,2,4,7,30,reel,22,0,3500,8368,1
1000,53,1,2,5,16,reel,22,5,1988,3477,0
3197,322,8,14,14,9,reel,12,4,1337,4894,1
42037,1122,33,34,126,18,image,17,1,3379,24997,2
1000,14,0,0,1,29,reel,1,5,2160,4094,1
5760,248,5,9,21,2,reel,0,3,3513,4518,1
1852,34,1,1,1,30,video,21,5,970,5059,1
9901,447,25,9,19,14,video,0,0,2525,10337,1
4025,134,8,2,12,2,video,16,3,2192,2412,0
115763,5656,434,61,628,29,video,23,4,1980,64078,2
20167,363,9,13,27,17,image,19,0,3046,15262,2
1000,34,0,1,1,6,video,9,2,1951,1535,0
27124,2621,74,40,266,5,image,12,5,2968,16499,2
2009,160,6,2,18,2,video,14,4,1639,2153,0
2868,52,2,1,4,16,reel,10,0,643,2968,0
14255,628,12,17,29,8,image,22,5,2848,10729,1
3343,469,28,9,31,9,reel,1,5,2357,8147,1
40422,3440,266,117,394,16,video,22,3,1240,30210,2
2009,95,3,1,4,29,reel,20,5,63,7903,1
2659,99,2,1,4,26,image,2,4,906,4372,1
2486,80,5,1,7,3,image,13,6,1562,2332,0
2927,20,1,0,1,10,video,15,5,1628,1985,0
58603,812,18,11,39,6,video,23,6,2695,16192,2
25130,1344,76,19,114,10,reel,23,5,1234,38425,2
175940,5128,177,85,586,27,video,11,2,317,117733,2
480104,14661,849,571,1568,10,video,4,0,2978,414133,2
1267,21,1,0,0,20,reel,19,4,1294,4302,1
9198,128,4,2,13,26,image,15,3,1026,3482,0
1000,11,0,0,0,8,image,12,6,2757,1122,0
1998,70,3,1,3,14,reel,18,6,1485,4851,1
2606,124,6,5,4,25,image,1,0,1829,2810,0
1208,12,0,0,1,10,video,1,1,1008,1565,0
1219,39,1,0,1,20,video,11,3,3241,2712,0
6249,249,16,6,11,5,image,9,4,1979,4622,1
1000,22,1,0,1,28,image,3,2,1163,2496,0
36894,1472,88,26,144,3,image,4,1,1138,16237,2
1553,110,3,2,5,21,image,11,3,1594,2881,0
1273429,58789,2150,2141,5663,30,image,1,5,2299,648705,2
3595,104,5,1,10,4,image,17,6,916,3192,0
9224,300,7,6,30,15,reel,2,5,2949,7955,1
1000,93,2,4,9,29,reel,16,1,1294,5451,1
174724,5702,131,119,187,2,image,8,6,2744,51853,2
60785,1954,147,32,215,9,video,3,3,3350,39990,2
13827,369,22,11,29,28,image,13,4,1122,5656,1
1000,18,1,0,1,4,image,15,4,1868,884,0
11839,49,3,2,1,29,image,22,3,2077,8650,1
1076,37,2,0,3,23,video,10,3,2739,2950,0
112672,2662,135,40,118,7,image,22,3,1415,32097,2
34771,990,48,41,78,6,reel,11,0,2682,37478,2
